BOP,Bird Love Score [<3]
2,67.71100111677298
3,25.510062592988284
19,70.60432616089977
22,74.59348574993506
24,78.82859718299825
26,62.70258244759375
45,26.35748096656435
66,65.7635061498727
72,75.4677713661569
87,34.2298083064353
93,16.217717179033702
108,33.51717825082628
113,73.3611149824999
115,10.69265563195161
141,44.03096933471463
151,49.533910656733035
165,13.26294025934585
173,67.9958766630791
182,74.99393491351528
183,42.70379582818071
189,38.47163708475093
222,29.935706934311508
235,84.08394017257785
239,71.69447423946868
289,49.31407714605942
293,65.80649363485769
316,61.4768645721783
317,72.11577742241577
329,17.267291249482092
342,12.98555955420517
343,36.7621389004802
348,89.07447942256164
354,41.168615227544954
369,9.795071352825296
381,89.02363337625165
393,25.598968173627615
402,19.55734098668868
411,26.390981400732585
427,17.492501456465018
468,55.38109382672554
476,37.4201350057125
495,68.09299629899641
496,41.331341617770725
502,19.327097343478982
518,44.78407240363644
569,25.64314062179001
570,32.01202145447887
598,38.5796353501074
606,43.38270357138004
632,19.34883154015162
637,83.54489378390994
664,43.6481706732167
667,13.64343551786229
680,44.70833115140828
700,25.510062592988284
704,30.205159032390917
728,49.263094128379215
736,85.90073950239125
738,43.68041093223656
748,36.980967537640886
752,62.86461634953611
765,33.48180025023705
767,89.03236706271805
772,77.53575230307351
797,20.246287386975283
803,26.33332603974967
820,55.710394297995734
821,48.949351848503156
823,13.26820289091077
828,38.3967940841487
835,19.44631671728484
843,32.965993169536034
871,67.0920180875799
873,19.23439790800327
876,9.02128960341987
881,43.542269111030755
891,59.27205701362963
894,78.38509549979989
899,85.83540779396755
902,25.834033407311868
912,44.93947047353763
930,26.06066214849625
934,84.66463571436572
938,55.55431182060823
942,31.779993172131935
955,44.273557995591055
960,38.353081528056485
965,9.989440903424734
981,55.68342714005632
1023,45.10612922163481
1040,15.380334443206184
1055,43.30104946721822
1067,45.152187618680756
1104,40.77975266317654
1137,21.001027811152902
1198,25.59375763635383
1222,61.74612353072432
1232,21.05234759021581
1235,37.84139761026181
1253,41.359892637152015
1261,33.91422899078658
1263,19.061213514562468
1272,25.510062592988284
1295,74.66100638525992
1296,43.69232495373315
1297,68.0848951125732
1319,9.898016817341196
1322,25.667701015651364
1328,20.23064892791639
1379,33.04095296760849
1423,37.28589914443378
1453,21.225117371592464
1461,10.218452892723679
1485,38.35440359986826
1491,36.97614480250453
1541,44.09726933471463
1545,44.510423400641095
1548,43.63709308425872
1606,13.347973825936013
1613,34.05536491106811
1614,15.99021939944616
1617,43.255268121240334
1627,83.26731602672027
1642,31.527795625303266
1651,72.82046479229535
1668,38.7657351228494
1687,38.37756754961356
1711,21.28219109562453
1730,36.47461454145142
1738,21.35294352069752
1745,15.633824193344335
1752,37.2978907801359
1754,21.074196717777294
1755,29.6310408918775
1763,49.177880414850726
1770,19.388133380631167
1788,25.507772360741793
1791,48.48730593772873
1799,61.36784860965535
1824,44.464322186467136
1855,49.105421620351436
1856,65.99950170130784
1864,36.169253119519496
1898,26.32376372501015
1901,21.244357474800207
1920,21.638147437791826
1924,20.85883500323327
1927,9.657349474695032
1951,9.844249133573959
1952,37.90508222736152
1961,51.737072289776876
1978,61.505155444389246
2024,49.50188255617457
2039,26.21134895757409
2057,77.38708801735922
2066,44.684195607543046
2071,55.248154762292096
2072,8.554104234519393
2078,12.875913315012708
2136,20.95191982261113
2145,40.84620988733871
2149,30.11362546820015
2154,43.211829524261304
2161,44.69624301372896
2164,30.961157302728807
2165,25.97375076528738
2175,12.829203291922362
2182,36.32244428435001
2185,29.785187107897446
2222,12.453830955448964
2232,25.73024420883158
2256,67.88384820831662
2267,83.80530389434936
2283,32.17740049224844
2285,21.173068127285223
2292,40.429490138484184
2308,45.794349007584835
2309,45.73477043615626
2333,26.022958519797907
2341,85.06817025174502
2346,48.981244120158046
2356,46.31965458925047
2360,36.935944849733886
2364,16.276754257279364
2382,17.317317409822405
2389,34.05387015488942
2391,37.28589914443378
2408,58.83433590657183
2414,26.430350576588662
2428,67.59415949284134
2439,43.66311647945181
2446,26.060305954440413
2464,9.870456352825295
2469,26.08948063137565
2470,43.3222269752143
2473,44.66286489588629
2479,55.16397156825661
2480,26.31497045982847
2490,41.29735581405499
2498,67.90783238321896
