BOP,Bird Love Score [<3]
118,42.81736926592329
188,55.08561937323228
196,44.6864112380798
220,44.858647310635924
242,44.03415619304412
282,54.65588045955006
300,48.901697019050225
307,61.6599509431297
320,61.53604252659873
340,43.08186170756927
352,55.20118474537467
376,36.18556688387701
417,42.92009479163271
447,29.54765655680102
452,49.271470112726604
494,52.970769379473474
636,44.79424558551776
671,54.87781543370663
682,42.89530586803093
685,61.73856011406987
697,40.48335341778158
698,39.03277436588719
782,44.919431735128434
810,53.03244469023591
818,37.75332238368509
849,62.25617920442168
968,48.783887752969925
1019,57.932008126943714
1035,35.016779640887336
1047,40.63577932082125
1078,48.93248697265827
1101,54.969847749180836
1139,53.62334675676444
1143,61.58710392187244
1146,46.79017231044534
1212,49.188008873225236
1248,61.71344344740319
1265,52.90628197902353
1274,31.587237823737414
1288,54.96948065523771
1350,44.888510667161334
1354,59.499276781418345
1362,44.888510667161334
1383,55.23651840239449
1397,43.11953323189755
1435,48.90085563419505
1447,52.29723675043102
1464,34.18951229684939
1477,53.82503634921088
1482,61.38314891711145
1535,54.91323378945345
1539,29.773214353471268
1556,62.20857335344005
1563,44.888510667161334
1576,38.74090834097112
1577,29.886315852341678
1587,43.02824632595632
1661,62.183117545247505
1713,53.13548548556867
1803,53.087190030990726
1804,39.12688213850473
1838,44.723653662645866
1847,42.838410687788674
1850,44.96851874756782
1907,35.821840478844386
1948,38.405660987627556
1972,44.86522300112718
1976,53.14613039664587
1988,29.577457556801022
1994,44.84151541145269
2022,38.291895943812314
2028,55.076412549045386
2035,57.894961405215035
2074,52.77780006293053
2076,40.78938522069983
2088,29.577457556801022
2139,44.122986787557586
2199,35.62595347579387
2212,48.88186509948131
2242,59.4341471615353
2266,44.858647310635924
2272,44.83466515073515
2273,59.45477503428801
2301,35.77989299618843
2302,53.620033558229814
2320,61.614403477428
2325,35.033574681738706
2352,40.7654123043745
2393,39.03277436588719
2398,44.54823929723466
2403,36.20393431350175
2407,59.60711362263196
2413,59.27743986149443
2420,54.089663539211735
2425,58.998998869725156
2441,36.18556688387701
2448,31.68533848676514
2450,35.18908408492799
2477,59.22034203654692
2494,48.73232408926521
